,Soil volumetric water content:,Soil el. conductivity:,Soil Oxygen:,PAR:,Shortwave irradiance:,Mean solar irradiance:,Precipitation since last meas.:,Lightnings since last measurement:,Gust wind speed:,Wind direction (rel. to N):,Average air temp.:,Vapour pressure:,Atmospheric pressure:,Vapour pressure deficit:,Rel. air humidity:,Station X axis orientation:,Leaf humidity:,Soil pH:,Soil humidity NPK:,Soil temp. NPK:,Soil el. conductivity NPK:,Soil Potassium:,Location(lat long alt):,Soil temp. 10cm:,Soil temp 50cm:,Soil temp 80cm:,Surface temp. object:,Air temp.:,Air humidity:,CO2 in air:,Light intensity:,Soil humidity1:,Soil humidity2:,Raindrops2:,Raindrops3:,Spectr. Violet:,Spectr. Blue:,Spectr. Green:,Spectr. Orange:,Spectr. Red:
96,0.0878,10.222,22.346,1926.424,791.7706667,889.0,0.0,0.0,7.275,62.32,31.65,2.0,100.906,2.725333333,42.81333333,-0.425,0.901,6.46,0.0,27.625,9.93325,16.0,44.176,24.20866667,24.146,23.8025,31.062,32.9595,41.9506,0.0,0.0,0.0,50.0,0.0,0.0,42914.25,29469.0,62251.33333,61705.75,25682.0
97,0.087666667,10.111,22.05266667,1859.78,742.60725,837.2,0.0,0.0,7.803333333,60.95,32.3,1.8325,100.9,3.033333333,37.94733333,-0.8,0.946,6.458,0.711,30.625,10.122,16.66675,44.176,24.29725,24.125,23.75,31.986,33.7922,37.98825,0.0,0.0,0.0,49.6,0.0,0.0,37939.75,27847.0,65535.0,59882.8,24696.66667
98,0.0878,10.0,21.6936,1576.635,682.3656667,718.2,0.0,0.0,7.976,60.53333333,32.5,1.8375,100.878,3.029,38.2062,-0.933333333,1.081,6.476,1.3802,32.25,10.41675,17.0,44.176,24.4065,24.094,23.75,32.76,34.518,32.752,0.0,3012.75,0.0,50.0,0.0,0.0,46163.33333,32582.75,65535.0,65535.0,29062.66667
99,0.088,11.44466667,21.4196,1344.665,529.907,562.0,0.0,0.0,7.788,59.3,31.7,2.015,100.87,2.590333333,42.697,-0.65,1.081,6.5,1.011,33.6,10.05566667,16.8335,44.176,24.5502,24.0785,23.7035,35.50333333,36.14083333,32.283,0.0,8175.5,0.0,49.75,0.0,0.0,46459.5,36055.0,65535.0,64893.66667,31608.0
100,0.088,11.44466667,21.3585,915.4555,56.7805,399.3333333,0.0,0.0,6.294,58.13333333,31.325,1.9775,100.8825,2.5834,43.27625,-0.625,1.081,6.502,0.0,29.92,9.2798,15.16675,44.176,24.7378,24.063,23.7252,32.79,35.29833333,37.335,0.0,7396.2,0.0,50.0,0.0,0.0,50762.0,41900.66667,65535.0,65535.0,36577.0
101,0.088,11.333,21.656,548.05725,47.3876,220.6666667,0.0,0.0,5.17,61.83333333,30.6,1.9475,100.89,2.5115,43.6264,-0.8,1.171,6.4975,0.0,28.1,8.75,14.0,44.176,24.9378,24.063,23.75,30.81,33.4095,38.528,0.0,7246.0,0.0,49.8,0.0,0.0,63350.25,53837.8,65535.0,65535.0,56773.25
104,0.088,11.66633333,22.3726,0.298333333,0.0,0.0,0.0,0.0,1.538,241.3333333,25.75,1.94,101.0116667,1.3746,58.761,-0.533333333,1.351,6.537666667,0.0,23.35,7.4665,12.0,44.176,25.521,24.063,23.875,24.73,26.569,59.38625,0.0,1.0,0.4,51.0,0.0,0.0,36468.5,24735.4,58187.25,58743.8,22333.0
107,0.088,10.8335,22.764,0.14025,0.0,0.0,0.0,0.0,1.9725,286.98,22.95,1.674,101.1033333,1.159333333,59.41,-0.575,1.351,6.5,0.0,20.4,6.783,11.0,44.176,25.625,24.125,24.0785,20.554,21.572,73.894,0.0,1.0,0.0,51.0,0.0,0.0,34583.0,22599.0,55338.25,54986.0,21209.4
108,0.088,10.667,22.83633333,0.0742,0.0005,0.0,0.0,0.0,1.7325,281.3,22.7,1.733333333,101.1033333,1.015,64.1255,-0.58,1.4865,6.4975,0.0,19.96666667,6.617,10.9334,44.176,25.594,24.167,24.14075,21.35666667,22.1655,65.815,0.0,1.0,0.0,51.0,0.0,0.0,35434.66667,22517.0,53342.0,55138.0,21596.0
110,0.088,10.5332,22.93266667,0.1016,0.0,0.0,0.0,0.0,2.588,283.45,22.8,1.924,101.1483333,0.83675,69.1468,-0.533333333,1.622,6.492,0.0,19.53333333,6.54,10.1665,44.176,25.4128,24.2035,24.2345,21.315,22.3635,75.3635,0.0,1.0,0.0,51.5,0.0,0.0,34101.0,22164.75,50885.5,54375.75,20732.25
111,0.088,10.1665,22.96,0.0282,0.0,0.0,0.0,0.0,1.674,247.95,20.93333333,1.893333333,101.166,0.60725,73.1906,-0.58,1.622,6.495,0.0,18.96,6.425,10.0,44.176,25.3378,24.22933333,24.25,20.57666667,22.069,75.604,0.0,1.0,0.0,52.66666667,0.0,0.0,33786.5,21605.16667,50221.6,53176.5,20613.0
112,0.088,9.8335,23.01,0.774,0.615,0.0,0.0,0.0,2.23,239.28,20.15,1.86,101.19,0.477,78.8574,-0.42,1.622,6.49,0.0,18.2,6.3134,10.0,44.176,25.21925,24.2626,24.25,18.68,20.091,80.6378,0.0,2.5,0.0,51.8,0.0,0.0,33215.66667,21179.0,49837.33333,52611.33333,20390.0
113,0.088,10.3335,23.0666,76.688,51.5236,31.2,0.0,0.0,1.8425,252.7333333,19.4,1.816666667,101.22,0.422,81.1195,-0.52,1.6895,6.49,0.0,17.675,6.1585,10.0,44.176,25.1002,24.3004,24.25,18.145,19.47175,84.6355,0.0,142.3333333,0.0,52.0,0.0,0.0,33081.5,21025.0,49796.5,52314.33333,20343.66667
114,0.088,10.0,23.1104,202.44775,136.541,142.25,0.0,0.0,2.544,268.15,20.51666667,1.9,101.2333333,0.5685,79.2962,-0.6,1.622,6.476666667,0.0,19.075,6.3085,2507.5,44.176,25.0,24.313,24.25,17.27,19.187,85.4852,0.0,149.0,0.0,52.0,0.0,0.0,33683.6,22106.0,55808.66667,53036.0,20446.0
115,0.088,10.33325,23.13533333,204.6325,407.33775,369.2,0.0,0.0,3.158,303.975,22.775,1.98,101.244,0.706,71.94883333,-0.5,1.297,6.46,0.0,21.7,6.688833333,10.889,44.176,24.85433333,24.313,24.25,19.84333333,21.4532,75.907,0.0,0.0,0.5,52.2,0.0,0.0,35811.5,24211.0,58158.6,56596.5,22537.75
116,0.088,9.9998,23.097,1225.84875,519.6216667,556.3333333,0.0,0.0,3.425,335.825,25.4,2.055,101.2583333,1.16075,62.15533333,-0.55,1.081,6.79675,0.0,26.025,7.175,11.6,44.176,24.7815,24.313,24.2004,22.378,24.65625,62.706,0.0,0.0,0.0,51.0,0.0,0.0,36171.75,26520.66667,45139.33333,61530.0,22562.75
117,0.088,10.1332,22.9552,1565.486,684.251,720.0,0.0,0.0,4.45,27.7,27.625,2.038,101.2766667,1.68175,55.2396,-0.525,0.901,6.5625,0.0,27.78,7.477666667,12.0,44.176,24.67733333,24.313,24.188,25.21,27.3542,55.503,0.0,0.0,0.0,51.0,0.0,0.0,32367.4,22106.5,42390.6,47391.0,20545.33333
119,0.088,10.25025,22.571,1907.832,804.972,895.8,0.0,0.0,4.69,53.52,30.825,2.0825,101.2566667,2.369,46.2372,-0.6,0.865,6.51,0.0,29.53333333,7.61675,12.5,44.176,24.563,24.313,24.094,29.855,31.89066667,45.14733333,0.0,0.0,0.0,50.6,0.0,0.0,34691.0,22435.75,41784.6,48097.33333,22157.66667
120,0.088,10.33333333,22.44266667,1894.4425,796.52375,893.5,0.0,0.0,6.322,59.53333333,31.32,2.14,101.224,2.421,46.4724,-0.55,0.901,6.5075,0.0,28.4,7.422333333,12.0,44.176,24.5878,24.29725,24.063,30.954,33.1404,41.6775,0.0,0.0,0.0,51.0,0.0,0.0,30106.2,20888.33333,45940.0,42320.25,19511.66667
122,0.088,10.8668,21.742,1550.648333,650.041,713.8333333,0.0,0.0,6.64,67.15,32.26666667,1.678,101.1975,3.183,34.6708,-0.625,1.027,6.52,2.2398,34.0,7.7134,12.778,44.176,24.7502,24.25,24.0,31.926,34.673,33.62125,0.0,4562.333333,0.0,51.2,0.0,0.0,37956.66667,27703.25,65535.0,58783.0,23807.0
123,0.088,11.41675,21.48575,1219.38,530.796,600.3333333,0.0,0.0,7.626666667,59.8,32.35,1.835,101.172,3.073,38.1704,-0.366666667,1.081,6.5375,1.8866,34.6,7.5835,12.0,44.176,24.891,24.25,24.0,33.405,36.9465,28.6896,0.0,12322.5,0.0,51.33333333,0.0,0.0,42439.0,36016.0,65535.0,65037.0,28525.75
124,0.088,11.667,21.4095,904.0345,64.222,417.0,0.0,0.0,6.8525,66.575,31.95,1.84,101.15,2.88575,38.8324,-0.666666667,1.081,6.536,0.0,31.3,6.79975,11.0,44.176,25.094,24.22933333,24.0,33.025,36.3938,31.75266667,0.0,9720.2,0.0,51.6,0.0,0.0,46108.0,38341.66667,65535.0,65535.0,31825.2
126,0.088,12.2,21.92916667,205.749,95.766,83.0,0.0,0.0,3.992,68.82,29.76666667,1.77,101.132,2.3942,43.0315,-0.633333333,1.081,6.69675,0.0,27.8,6.078,10.0,44.176,25.56275,24.25,24.0525,30.25,31.629,39.49575,0.0,3797.5,0.0,51.33333333,0.0,0.0,37195.0,25821.4,47025.0,57690.0,24641.16667
127,0.088,12.1332,22.22266667,16.73425,7.265,7.8,0.0,0.0,1.155,72.8,27.26,1.796,101.1775,1.668,51.0446,-0.616666667,1.081,6.554333333,0.0,25.51666667,5.755666667,9.0,44.176,25.7628,24.25,24.094,27.92,29.617,43.24625,0.0,640.5,0.0,51.5,0.0,0.0,32003.6,20988.33333,42662.2,49728.25,19845.0
129,0.088,11.9332,22.61066667,0.0465,0.0,0.0,0.0,0.0,1.24,285.9333333,22.76,1.81,101.255,0.927833333,66.4636,-0.5,1.531666667,6.53075,0.0,21.58,5.233333333,8.0,44.176,25.9876,24.2752,24.22933333,22.145,22.9745,67.666,0.0,1.0,0.0,52.2,0.0,0.0,29902.6,18275.6,39922.25,45673.5,18569.33333
130,0.08825,11.8666,22.70966667,0.01,0.0,0.0,0.0,0.0,1.48,278.175,21.33333333,1.776,101.26,0.75,70.37233333,-0.52,1.622,6.52,0.0,20.525,5.022,8.0,44.176,25.9876,24.313,24.3004,20.765,21.331,72.74583333,0.0,1.0,0.0,52.0,0.0,0.0,29384.66667,17644.0,39263.33333,44438.66667,18276.4
131,0.088,11.38883333,22.795,0.0165,0.0,0.0,0.0,0.0,1.64,272.6,21.55,1.656,101.236,0.9245,63.60433333,-0.6,1.441333333,6.5206,0.0,19.8,4.95,8.0,44.176,25.969,24.313,24.375,20.1,20.5895,75.324,0.0,1.0,0.5,52.0,0.0,0.0,29225.0,17530.25,38106.66667,44220.0,18104.66667
133,0.08825,11.0,22.94,0.044833333,0.0,0.0,0.0,0.0,1.7,279.22,21.15,1.6975,101.21,0.8074,67.585,-0.525,1.5136,6.5134,0.0,18.775,4.8,7.91675,44.176,25.82333333,24.375,24.4752,19.63,19.8758,71.6836,0.0,1.0,0.0,52.25,0.0,0.0,28335.0,16758.5,35610.0,42269.0,17473.5
135,0.0882,10.333,23.0032,0.028,0.0,0.0,0.0,0.0,1.49,249.6666667,20.0,1.7775,101.185,0.541333333,77.24166667,-0.475,1.676,6.51825,0.0,17.78333333,4.7,7.1998,44.176,25.58366667,24.4752,24.5,18.994,19.28566667,78.6215,0.0,1.0,0.0,52.2,0.0,0.0,27524.8,16123.5,33301.5,40671.75,16780.75
136,0.088333333,9.8335,23.04,1.0932,0.5984,0.25,0.0,0.0,1.4375,269.7,19.63333333,1.84,101.18,0.445,80.3312,-0.5,2.027,6.51325,0.0,17.4,4.644666667,7.0555,44.176,25.4502,24.4752,24.521,18.31,18.7888,84.34575,0.0,3.0,0.0,53.0,0.0,0.0,26839.66667,15728.0,32652.75,39341.0,16378.75
138,0.088166667,9.66675,23.1106,242.626,237.4475,178.0,0.0,0.0,2.322,257.8,21.275,1.992,101.175,0.618333333,77.9605,-0.533333333,1.55425,6.495,0.0,19.18,4.81675,7.83325,44.176,25.1876,24.5,24.5,18.795,18.45025,88.4062,0.0,307.25,0.0,52.0,0.0,0.0,26703.6,16150.0,37231.0,38766.5,16415.33333
139,0.0885,9.75,23.096,221.34,434.6756667,388.6666667,0.0,0.0,2.763333333,273.45,23.93333333,2.012,101.175,1.0615,66.4808,-0.55,1.081,6.48,0.0,23.225,5.0835,8.0,44.176,25.06266667,24.521,24.4752,21.83,21.999,78.3888,0.0,0.0,0.4,53.0,0.0,0.0,29244.66667,18395.0,42841.66667,41508.0,18050.25
143,0.088,10.0,22.45366667,1858.026667,818.07725,852.3333333,0.0,0.0,6.293333333,68.03333333,31.92,1.86,101.1666667,2.936333333,40.08675,-0.62,0.811,6.523333333,0.0,29.76,5.66675,9.0,44.176,24.688,24.5,24.313,31.31,33.31133333,39.404,0.0,0.0,0.0,52.0,0.0,0.0,31051.2,21084.8,43768.0,46053.5,19660.4
148,0.0882,12.111,21.40525,844.9368,197.663,377.4,0.0,0.0,7.245,67.23333333,32.5,1.563333333,101.055,3.27725,32.5304,-0.85,0.865,6.5685,0.0,31.45,4.8415,7.444333333,44.176,25.20325,24.42225,24.188,34.07,37.6982,19.6734,0.0,12129.0,0.0,52.6,0.0,0.0,43826.4,42731.5,65535.0,65535.0,32250.33333
151,0.088333333,12.0,22.1694,10.35316667,5.3555,1.0,0.0,0.0,2.724,177.075,28.75,1.534,101.06,2.3102,39.94275,-0.525,1.081,6.57,0.0,26.2,3.99175,6.0,44.176,25.92733333,24.438,24.2626,29.705,31.1306,36.14475,0.0,454.6,0.0,52.5,0.0,0.0,26362.0,18317.5,30764.0,41788.8,16745.66667
152,0.0882,12.33325,22.34025,0.214,0.0,0.0,0.0,0.0,1.568,312.05,25.65,1.48,101.085,1.8815,45.4904,-0.666666667,1.081,6.565,0.0,24.42,3.8,6.0,44.176,26.08366667,24.438,24.32333333,27.36333333,28.482,40.61475,0.0,1.0,0.5,52.0,0.0,0.0,25347.5,14925.33333,29213.75,34692.66667,14935.2
153,0.0888,12.22233333,22.5445,0.213333333,0.0,0.0,0.0,0.0,1.615,308.4,24.35,1.495,101.128,1.55325,48.8824,-0.55,1.081,6.5725,0.0,22.9,3.689,6.0,44.176,26.14075,24.438,24.3876,24.62,25.3488,45.28733333,0.0,1.0,0.0,52.75,0.0,0.0,24456.66667,14705.0,28827.75,34429.0,14666.0
154,0.088,12.0666,22.6425,0.2576,0.0,0.0,0.0,0.0,4.058333333,331.65,25.21666667,1.548,101.1425,1.657,48.54533333,-0.65,1.081,6.5754,0.0,22.35,3.633,5.889,44.176,26.188,24.45866667,24.47933333,23.18,23.893,50.94675,0.0,1.0,0.0,53.0,0.0,0.0,24162.0,14462.0,26057.5,33920.6,14486.6
156,0.0885,11.1665,22.791,0.199,0.0,0.0,0.0,0.0,5.105,316.8,24.175,1.8975,101.1675,1.112,63.084,-0.5,1.351,6.58,0.0,21.84,3.56675,5.8,44.176,26.14075,24.5315,24.6002,23.75,24.24475,60.95383333,0.0,1.0,0.0,53.2,0.0,0.0,20845.2,12807.2,24503.0,27002.5,12399.66667
157,0.088333333,10.6665,22.835,0.105,0.000166667,0.0,0.0,0.0,4.73,291.8,23.22,1.86,101.1766667,1.00275,65.48725,-0.52,1.351,6.58,0.0,21.26,3.522333333,5.3335,44.176,26.04725,24.563,24.6502,23.43,23.7575,66.512,0.0,1.0,0.0,53.0,0.0,0.0,21428.2,12890.6,23121.5,27817.5,12413.6
158,0.088,10.6,22.8585,0.04175,0.0002,0.0,0.0,0.0,4.913333333,284.775,22.26666667,1.804,101.1625,0.899,66.71675,-0.6,1.351,6.58,0.0,20.55,3.5,5.0,44.176,25.969,24.5785,24.688,21.92,22.88025,68.8404,0.0,1.0,0.0,53.0,0.0,0.0,20424.8,12900.75,23312.75,27203.0,12185.2
159,0.0885,10.5334,22.878,0.14325,0.0,0.0,0.0,0.0,3.438,297.7,22.28,1.778,101.135,0.914,66.287,-0.52,1.351,6.58,0.0,20.2,3.5,5.0,44.176,25.875,24.625,24.688,21.54,21.9576,70.10266667,0.0,1.0,0.0,53.0,0.0,0.0,19782.25,12578.33333,23078.5,25407.75,11960.5
160,0.0886,10.1665,22.90025,0.4865,0.1886,0.0,0.0,0.0,2.734,295.375,22.06666667,1.7975,101.1233333,0.828,68.63516667,-0.6,1.351,6.575,0.0,19.86,3.444333333,5.0,44.176,25.7752,24.646,24.7128,21.535,21.85433333,70.0778,0.0,1.8,0.0,53.0,0.0,0.0,19801.8,12516.0,23037.0,25594.5,11870.5
161,0.088333333,10.111,22.931,69.3844,42.038,20.25,0.0,0.0,3.118,306.2,21.5,1.813333333,101.1433333,0.74,71.41425,-0.575,1.5136,6.58075,0.0,19.5,3.422333333,5.0,44.176,25.625,24.646,24.719,21.075,21.35975,72.46533333,0.0,116.75,0.0,53.0,0.0,0.0,19509.33333,12414.25,23941.0,24904.0,11681.66667
162,0.088666667,10.33333333,22.98025,278.8455,244.5145,207.75,0.0,0.0,4.788333333,322.1666667,22.7,1.922,101.17,0.76,71.93275,-0.4,1.4052,6.57,0.0,20.83333333,3.475,5.1334,44.176,25.60433333,24.688,24.688,20.94,21.243,74.9715,0.0,1976.666667,0.0,53.0,0.0,0.0,20033.6,13293.2,28537.33333,25842.0,12241.33333
163,0.0886,10.0,22.98966667,261.84975,392.9532,344.75,0.0,0.0,4.96,327.925,23.6,1.956,101.1725,0.957,67.76733333,-0.5,1.135,6.6625,0.0,23.775,3.68,6.0,44.176,25.4878,24.688,24.688,21.97666667,22.9888,69.84366667,0.0,0.0,0.5,53.25,0.0,0.0,23114.0,16603.5,36832.4,31247.0,14544.0
164,0.089,10.083,22.9175,714.8383333,548.894,574.6,0.0,0.0,6.882,349.58,25.3,1.903333333,101.158,1.2594,59.4714,-0.6,1.0135,6.713833333,0.0,26.275,3.75,6.0,44.176,25.4002,24.688,24.688,23.68666667,25.0002,63.2755,0.0,0.0,0.0,52.4,0.0,0.0,25987.0,17370.0,42289.75,35657.0,16397.66667
165,0.0886,10.111,22.8695,982.7705,350.8076667,425.0,0.0,0.0,6.668333333,325.7,25.83333333,1.858333333,101.145,1.47325,55.52375,-0.6,1.081,6.7275,0.0,25.75,3.789,6.0,44.176,25.31266667,24.688,24.625,25.60666667,26.46,53.9215,0.0,0.0,0.0,52.66666667,0.0,0.0,28627.75,19729.33333,36837.8,38936.5,18001.66667
166,0.0885,10.222,22.81233333,1508.7935,637.432,691.4,0.0,0.0,7.221666667,329.075,27.44,1.9175,101.136,1.7734,51.4496,-0.566666667,1.0135,6.732,0.0,26.66666667,3.825,6.0,44.176,25.23966667,24.7004,24.625,25.835,26.99675,52.148,0.0,0.0,0.0,52.25,0.0,0.0,26685.75,21732.0,65535.0,42520.0,16278.66667
168,0.0885,10.4165,22.7118,1776.753333,747.77825,767.8333333,0.0,0.0,7.6725,293.0,28.3,1.925,101.1,1.925,50.2105,-0.575,1.027,6.6575,0.0,27.25,3.75825,6.0,44.176,25.188,24.688,24.563,27.91,30.34525,45.3542,0.0,0.0,0.0,52.25,0.0,0.0,65535.0,65535.0,65535.0,65535.0,54290.33333
169,0.0888,10.5555,22.514,1674.69,710.0,718.0,0.0,0.0,7.143333333,320.2833333,29.7,1.916666667,101.0766667,2.277,45.81233333,-0.6,0.973,6.56,0.6,31.075,3.91675,6.0,44.176,25.20866667,24.688,24.5,28.29,30.67666667,45.9404,0.0,0.0,0.0,52.66666667,0.0,0.0,65535.0,65535.0,65535.0,65535.0,54840.0
171,0.0885,11.0,21.9915,1115.06225,290.494,412.75,0.0,0.0,6.926666667,310.52,28.9,1.7925,101.095,2.150666667,45.2654,-0.55,1.081,6.585,1.1334,33.26,3.84175,6.0,44.176,25.35433333,24.6754,24.5,32.2,33.97483333,36.59325,0.0,9732.5,0.0,53.0,0.0,0.0,65535.0,65535.0,65535.0,65535.0,65535.0
172,0.088166667,11.4668,22.01066667,949.1132,191.16275,415.6666667,0.0,0.0,6.425,313.3,28.33333333,1.8075,101.1125,2.07575,46.47225,-0.575,1.081,6.6,0.0,30.6,3.5334,5.0,44.176,25.56266667,24.646,24.4752,29.35,31.6865,38.41566667,0.0,4773.75,0.0,52.75,0.0,0.0,65535.0,65535.0,65535.0,65535.0,64006.6
173,0.0886,12.0,22.16525,406.032,91.0855,189.5,0.0,0.0,6.25,313.52,27.2,1.72,101.115,1.8965,47.632,-0.525,1.081,6.5992,0.0,28.0,3.3066,5.0,44.176,25.719,24.64075,24.5,28.26,30.3162,41.6852,0.0,9011.25,0.0,52.8,0.0,0.0,65535.0,65535.0,65535.0,65535.0,60257.5
174,0.08825,11.889,22.3452,120.6953333,61.1204,72.25,0.0,0.0,5.0775,302.66,26.5,1.652,101.13,1.735,49.314,-0.48,1.081,6.6,0.0,25.96,3.11675,5.0,44.176,25.93775,24.6502,24.5,26.774,27.9644,47.207,0.0,4336.0,0.0,53.0,0.0,0.0,65535.0,65535.0,65535.0,65535.0,54955.25
178,0.088,10.833,22.901,0.0525,0.0004,0.0,0.0,0.0,4.57,293.375,19.825,1.444,101.226,0.88925,62.336,-0.525,1.261,6.615,0.0,19.6,2.789,4.0,44.176,26.188,24.7004,24.688,20.04333333,20.42633333,63.5575,0.0,2.0,0.0,53.6,0.0,0.0,65535.0,64864.16667,65535.0,65535.0,52123.5
179,0.0884,11.0,22.9985,0.013,0.0,0.0,0.0,0.0,4.265,286.6,19.225,1.415,101.22,0.7878,63.7666,-0.533333333,1.351,6.615,0.0,18.76666667,2.75,4.0,44.176,26.14075,24.7004,24.719,19.325,19.559,64.5875,0.0,2.0,0.0,54.0,0.0,0.0,65535.0,64868.5,65535.0,65535.0,51672.8
181,0.0885,9.777666667,23.10275,0.0495,0.0,0.0,0.0,0.0,5.3,286.975,18.325,1.41,101.148,0.6946,66.988,-0.533333333,1.351,6.611,0.0,17.56666667,2.667,4.0,44.176,25.94816667,24.76575,24.813,17.89,18.1365,69.1454,0.0,2.0,0.0,53.8,0.0,0.0,65535.0,64821.0,65535.0,65535.0,51422.33333
182,0.088,8.111166667,23.1345,0.011,0.0,0.0,0.0,0.0,3.412,291.75,18.225,1.41,101.1333333,0.6805,67.304,-0.475,1.351,6.6075,0.0,17.2,2.65,4.0,44.176,25.83366667,24.76575,24.813,17.675,17.9604,70.26,0.0,2.0,0.0,54.0,0.0,0.0,65535.0,64827.33333,65535.0,65535.0,51451.66667
183,0.088,6.99975,23.1464,0.021,0.0,0.0,0.0,0.0,3.335,286.02,18.3,1.428,101.116,0.685,67.96583333,-0.583333333,1.351,6.6,0.0,16.85,2.7,4.0,44.176,25.68766667,24.7815,24.813,17.5,17.782,70.651,0.0,2.0,0.0,54.0,0.0,0.0,65535.0,64427.0,65535.0,65535.0,51209.0
184,0.088,6.222333333,23.17316667,0.13575,0.722,0.0,0.0,0.0,4.055,280.8666667,18.25,1.428,101.1,0.6684,68.1265,-0.466666667,1.351,6.6,0.0,16.6,2.722333333,4.0,44.176,25.54725,24.813,24.813,17.53666667,17.79625,72.105,0.0,2.666666667,0.0,53.66666667,0.0,0.0,65535.0,63893.0,65535.0,65535.0,50983.33333
186,0.088,5.91675,23.2212,212.1355,189.641,149.4,0.0,0.0,5.105,287.78,19.3,1.524,101.1025,0.7058,68.1305,-0.55,1.351,6.596666667,0.0,18.0,2.8,4.0,44.176,25.271,24.813,24.7376,17.702,18.2905,71.8254,0.0,383.0,0.0,53.8,0.0,0.0,65535.0,64646.6,65535.0,65535.0,51382.0
187,0.088,6.333,23.21833333,269.277,352.02925,339.6,0.0,0.0,5.02,309.725,21.025,1.62,101.0875,0.823666667,64.90225,-0.625,1.081,6.576666667,0.0,20.08,2.911,4.555666667,44.176,25.094,24.813,24.688,19.185,19.9314,67.8842,0.0,0.0,0.0,53.4,0.0,0.0,65535.0,65535.0,65535.0,65535.0,52408.66667
188,0.088,6.166666667,23.1734,890.90975,548.2476667,514.1666667,0.0,0.0,6.02,313.66,22.96666667,1.67,101.0775,1.087,61.323,-0.56,1.081,6.5894,0.0,23.65,3.0866,5.0,44.176,24.9876,24.813,24.6376,21.44,22.3068,61.30033333,0.0,0.0,0.0,54.0,0.0,0.0,65535.0,65535.0,65535.0,65535.0,52729.6
189,0.088,6.0835,23.111,1490.258,630.369,672.5,0.0,0.0,5.936666667,290.35,24.16666667,1.6875,101.0533333,1.316,56.3432,-0.65,0.991,6.6175,0.0,25.05,3.155666667,5.0,44.176,24.8504,24.8004,24.5785,23.146,24.4316,55.0824,0.0,0.0,0.0,53.33333333,0.0,0.0,65535.0,65535.0,65535.0,65535.0,52304.0
190,0.088,6.5,22.958,1701.5925,734.323,796.3333333,0.0,0.0,6.8,312.9,25.92,1.6825,101.0433333,1.6412,50.9185,-0.433333333,0.811,6.576,0.0,28.2,3.339,5.0,44.176,24.7376,24.771,24.5315,24.422,26.093,49.10866667,0.0,0.0,0.0,53.0,0.0,0.0,65535.0,65535.0,65535.0,65535.0,53514.66667
193,0.088,7.666666667,22.52075,1736.536667,595.26025,762.8,0.0,0.0,6.0275,325.12,29.0,1.671666667,101.0125,2.39025,41.1675,-0.666666667,0.946,6.5825,0.8332,31.35,3.3066,5.0,44.176,24.69833333,24.719,24.3502,28.975,30.83675,37.1624,0.0,0.0,0.0,53.2,0.0,0.0,65535.0,65535.0,65535.0,65535.0,52935.4
195,0.088,9.333333333,21.967,654.0005,353.6965,442.3333333,0.0,0.0,5.4525,323.26,29.9,1.68,100.9766667,2.4904,39.923,-0.7,1.081,6.60825,1.2198,33.1,3.2134,5.0,44.176,24.82316667,24.6754,24.25,33.375,33.08733333,33.95316667,0.0,8544.5,0.0,53.0,0.0,0.0,65535.0,65535.0,65535.0,65535.0,65535.0
197,0.088,10.22233333,22.1115,266.76275,78.94775,96.0,0.0,0.0,3.623333333,312.9666667,28.65,1.572,100.98,2.3608,39.98,-0.64,1.081,6.625,0.0,27.85,2.72,4.0,44.176,25.2002,24.625,24.25,30.19,31.5894,36.21725,0.0,9842.5,0.0,53.5,0.0,0.0,65535.0,65535.0,65535.0,65535.0,62953.6
198,0.088,10.55566667,22.2995,125.2346,71.41133333,57.25,0.0,0.0,4.64,316.0333333,28.21666667,1.57,100.998,2.242,41.074,-0.566666667,1.081,6.62,0.0,27.0,2.6,4.0,44.176,25.37525,24.57333333,24.25,28.275,29.305,39.506,0.0,4340.25,0.0,53.0,0.0,0.0,65535.0,65535.0,65535.0,65535.0,57812.66667
199,0.088,10.38883333,22.4336,9.8526,5.7495,2.5,0.0,0.0,2.232,310.3,26.25,1.515,101.0475,1.9284,44.753,-0.56,1.126,6.6225,0.0,24.76666667,2.55,4.0,44.176,25.57825,24.563,24.2626,27.594,28.25483333,41.1495,0.0,340.2,0.0,53.6,0.0,0.0,65535.0,65535.0,65535.0,65535.0,56343.25
200,0.088,10.2664,22.5874,0.1015,0.00025,0.0,0.0,0.0,1.382,300.7333333,24.38,1.492,101.1133333,1.5372,49.0588,-0.6,1.081,6.6275,0.0,23.06666667,2.4,4.0,44.176,25.68775,24.563,24.313,25.34,26.3102,45.36033333,0.0,1.0,0.0,55.0,0.0,0.0,65535.0,65535.0,65535.0,65535.0,55577.6
201,0.088,10.1665,22.6955,0.054,0.0,0.0,0.0,0.0,1.236666667,325.6,21.975,1.455,101.138,1.1885,55.65325,-0.55,1.216,6.63,0.0,21.425,2.3,3.0,44.176,25.771,24.563,24.3378,22.65,23.99033333,52.0266,0.0,1.0,0.0,54.0,0.0,0.0,65535.0,65535.0,65535.0,65535.0,55804.75
